label,l_sh_abd,l_sh_er,l_sh_flex,pelvis_pitch,pelvis_roll,pelvis_yaw,r_sh_abd,r_sh_er,r_sh_flex
arms_down,152.00132954174842,0.0,-59.85933563348377,-0.2656115133322321,89.01012048869619,158.49856784238344,-146.91252036657156,0.0,-81.94479430457473
t_pose,32.931663767238135,-47.535312887047866,-16.251727624839987,-1.5644622737665634,84.2225597109425,165.3510729246252,-50.969676487931316,0.0,-11.979627893846098
overhead,34.90629025884494,0.0,65.77136741852213,-0.2854533618700022,87.86480030972628,164.37368003187538,-22.731036849904147,82.63349089884954,62.214658805001655
