timestamp,block_id,phase_label,l_abd,l_flex,l_er,r_abd,r_flex,r_er
1761183208.67417,1,abd_down,168.31123535845236,-69.53399152207703,170.22671242729615,-164.55481434597507,-74.68733366620118,0.0
1761183208.807113,1,abd_down,168.00381814903636,-69.5278460248021,0.0,-164.57320535493767,-74.93186672042329,0.0
1761183208.936928,1,abd_down,164.75030477020556,-69.67261232530596,7.294861099581826,-167.47927520345027,-75.14824226011186,55.432947221706236
1761183209.072083,1,abd_down,165.0282491268298,-69.06520968850239,0.0,-167.15225839889763,-75.55499417832219,0.0
1761183209.210851,1,abd_down,165.02241884550017,-68.82058687881926,0.0,-167.39669730010533,-75.57597180156785,0.0
1761183209.3367271,1,abd_down,163.985733265605,-69.64460349095503,0.0,-167.35769964175051,-76.08004906593274,0.0
1761183209.4695811,1,abd_down,163.1462617698539,-70.31458128980924,0.0,-167.213582438093,-76.5098966606819,0.0
1761183209.617318,1,abd_down,162.81528860095094,-70.33485467829772,0.0,-167.45515314852335,-76.59866176627925,0.0
1761183209.7342641,1,abd_down,163.23320167450203,-70.55205397295687,8.299101008053633,-166.82581453963127,-76.63484593680776,128.67861675286838
1761183209.871727,1,abd_down,163.16398512409629,-71.09418004633554,0.0,-166.60836242569752,-76.5598279981979,0.0
1761183210.012809,1,abd_down,163.20857083763536,-71.06712912972688,0.0,-166.6072764931385,-76.58401363776196,0.0
1761183210.1355379,1,abd_down,163.13163055175244,-70.98786987963081,0.0,-166.59035778456038,-76.76886153579152,0.0
1761183210.271342,1,abd_down,162.96499810233917,-71.15166303438599,8.82751952631198,-166.4031611607513,-76.96882980626633,0.0
1761183210.4092941,1,abd_down,163.47061436339482,-71.26822948644985,0.0,-165.63110084883095,-77.10572581429392,0.0
1761183210.5358,1,abd_down,164.07668319705803,-70.9626674115367,0.0,-166.0874009266334,-76.51711142014216,123.63897613190574
1761183210.671654,1,abd_down,164.18983804128717,-70.68796124338135,9.486483431503533,-166.3884198238564,-76.3806693474188,0.0
1761183210.8089359,1,abd_down,164.15432457484204,-70.7726877375085,9.558746061446316,-166.57351117619615,-76.22302791548786,113.71463410212957
1761183210.93519,1,abd_down,162.09456510901313,-70.49827439622014,0.0,-167.7994060539522,-77.03234789112763,134.0779753056445
1761183211.0651782,1,abd_down,162.73808751120802,-70.32597974606807,0.0,-167.2504924755835,-77.00753746971257,133.4708323496327
1761183211.210689,1,abd_down,161.6793534462847,-70.52191148914969,0.0,-167.91568415935097,-77.16312111784674,135.63040569797528
1761183211.335937,1,abd_down,159.7761155893294,-70.81108176535467,0.0,-169.29300445257317,-77.3592350218212,0.0
1761183211.470268,1,abd_down,160.42691778800597,-70.70010172554497,0.0,-168.8949823735888,-77.29034964914685,0.0
1761183211.608875,1,abd_down,162.1356142382679,-70.31677584773475,0.0,-167.84362566074435,-77.06062386200183,0.0
1761183211.735719,1,abd_down,162.2598314950721,-70.1860787102743,9.581634064993825,-167.94686023201123,-77.00977332224765,0.0
1761183211.8711371,1,abd_down,161.7674699765487,-69.9312873312762,0.0,-168.26803725618103,-77.3067276089237,137.94190970915457
1761183212.010311,1,abd_down,161.5634496147632,-70.24598333712206,9.62809477972854,-167.69356406307193,-77.70509670665696,0.0
1761183212.1355531,1,abd_down,162.6471355915734,-70.65726206180314,0.0,-167.9644402743213,-76.41895700163282,0.0
1761183212.3423538,1,abd_down,162.37505291535254,-70.96605275717312,0.0,-167.95144006653734,-76.45726471721433,0.0
1761183212.4692721,1,abd_down,162.42217447469685,-70.946574764299,0.0,-167.75749155505673,-76.65516439763836,126.94471334577118
1761183212.604766,1,abd_down,162.48279536719093,-70.99875244921759,0.0,-167.80372113612867,-76.59363385423401,0.0
1761183212.7360451,1,abd_down,162.6071231106356,-70.7936520375778,0.0,-167.95316719318777,-76.52761861140505,123.84839654633846
1761183212.877621,1,abd_down,163.10873853279026,-70.30748557410175,0.0,-168.5084485513029,-75.97281793806056,0.0
1761183213.008839,1,abd_down,163.28405925774342,-70.14814394986627,0.0,-168.61995821170316,-75.82924920263105,0.0
1761183213.1366222,1,abd_down,163.03652654105124,-69.94282004494136,10.411570555415572,-169.47328191815797,-75.39447557671798,68.00997588397682
1761183213.271598,1,abd_down,162.85835948069843,-70.0538309860872,0.0,-169.29682510933307,-75.70186443110693,87.02376663483624
1761183213.408216,1,abd_down,162.59300763962688,-70.12696643409372,0.0,-169.02005083947003,-76.13321003841895,-117.20958934873023
1761183213.53456,1,abd_down,163.06217096809868,-70.17375716932327,10.626295680843965,-169.0018732207139,-75.62583869219091,0.0
1761183213.672471,1,abd_down,163.98141802506188,-70.14351427132085,0.0,-168.3081962848346,-75.40468628057084,67.54539448701195
1761183213.808185,1,abd_down,164.723229334193,-69.75405104821644,10.800469887079618,-168.29815255729096,-74.94368163358021,0.0
1761183213.9379148,1,abd_down,164.11281815651716,-69.76396510698176,10.75857092177166,-168.75040828963108,-75.03762898212013,48.65898335181567
1761183214.070227,1,abd_down,163.83644306363752,-69.62846484246812,10.747802984955012,-168.89292171343578,-75.245663568695,59.90296218196257
1761183214.208655,1,abd_down,163.49236411100821,-70.15510417104254,10.697185525255778,-168.21548249905254,-75.81215422858493,0.0
1761183214.336874,1,abd_down,162.7076614034963,-70.2093824547088,10.633356987962616,-168.77323473317995,-75.8952203164259,0.0
1761183214.472069,1,abd_down,161.0343816007694,-70.61872509075934,10.293699297080305,-169.5411198517448,-76.29389089020536,114.92199286044779
1761183214.608246,1,abd_down,161.62652666924032,-70.27311584416773,0.0,-169.38373510090778,-76.04705274905423,105.81593715488944
1761183214.738245,1,abd_down,160.56774149313836,-70.28032091648457,0.0,-170.47069905729333,-75.97745631708288,0.0
1761183214.870529,1,abd_down,160.6354535689429,-70.07947126475806,0.0,-170.40670315650505,-76.09188277592447,0.0
