joint,unreal_bone,src_pitch_col,src_yaw_col,src_roll_col,addr_pitch,addr_yaw,addr_roll
mixamorig:LeftHandMiddle3,middle_03_l,pitch_deg,yaw_deg,roll_deg,/bone/middle_03_l/pitch,/bone/middle_03_l/yaw,/bone/middle_03_l/roll
mixamorig:LeftHandRing1,ring_01_l,pitch_deg,yaw_deg,roll_deg,/bone/ring_01_l/pitch,/bone/ring_01_l/yaw,/bone/ring_01_l/roll
mixamorig:LeftHandRing2,ring_02_l,pitch_deg,yaw_deg,roll_deg,/bone/ring_02_l/pitch,/bone/ring_02_l/yaw,/bone/ring_02_l/roll
mixamorig:LeftHandRing3,ring_03_l,pitch_deg,yaw_deg,roll_deg,/bone/ring_03_l/pitch,/bone/ring_03_l/yaw,/bone/ring_03_l/roll
mixamorig:LeftHandPinky1,pinky_01_l,pitch_deg,yaw_deg,roll_deg,/bone/pinky_01_l/pitch,/bone/pinky_01_l/yaw,/bone/pinky_01_l/roll
mixamorig:LeftHandPinky2,pinky_02_l,pitch_deg,yaw_deg,roll_deg,/bone/pinky_02_l/pitch,/bone/pinky_02_l/yaw,/bone/pinky_02_l/roll
mixamorig:LeftHandPinky3,pinky_03_l,pitch_deg,yaw_deg,roll_deg,/bone/pinky_03_l/pitch,/bone/pinky_03_l/yaw,/bone/pinky_03_l/roll
mixamorig:RightUpLeg,thigh_r,pitch_deg,yaw_deg,roll_deg,/bone/thigh_r/pitch,/bone/thigh_r/yaw,/bone/thigh_r/roll
mixamorig:RightLeg,calf_r,pitch_deg,yaw_deg,roll_deg,/bone/calf_r/pitch,/bone/calf_r/yaw,/bone/calf_r/roll
mixamorig:RightFoot,foot_r,pitch_deg,yaw_deg,roll_deg,/bone/foot_r/pitch,/bone/foot_r/yaw,/bone/foot_r/roll
mixamorig:RightToeBase,ball_r,pitch_deg,yaw_deg,roll_deg,/bone/ball_r/pitch,/bone/ball_r/yaw,/bone/ball_r/roll
mixamorig:LeftUpLeg,thigh_l,pitch_deg,yaw_deg,roll_deg,/bone/thigh_l/pitch,/bone/thigh_l/yaw,/bone/thigh_l/roll
mixamorig:LeftLeg,calf_l,pitch_deg,yaw_deg,roll_deg,/bone/calf_l/pitch,/bone/calf_l/yaw,/bone/calf_l/roll
mixamorig:LeftFoot,foot_l,pitch_deg,yaw_deg,roll_deg,/bone/foot_l/pitch,/bone/foot_l/yaw,/bone/foot_l/roll
mixamorig:LeftToeBase,ball_l,pitch_deg,yaw_deg,roll_deg,/bone/ball_l/pitch,/bone/ball_l/yaw,/bone/ball_l/roll
