mixamo_joint,unreal_bone,osc_address
mixamorig:LeftHandThumb2,thumb_02_l,/bone/thumb_02_l/roll
mixamorig:LeftHandThumb3,thumb_03_l,/bone/thumb_03_l/pitch
mixamorig:LeftHandThumb3,thumb_03_l,/bone/thumb_03_l/yaw
mixamorig:LeftHandThumb3,thumb_03_l,/bone/thumb_03_l/roll
mixamorig:LeftHandIndex1,index_01_l,/bone/index_01_l/pitch
mixamorig:LeftHandIndex1,index_01_l,/bone/index_01_l/yaw
mixamorig:LeftHandIndex1,index_01_l,/bone/index_01_l/roll
mixamorig:LeftHandIndex2,index_02_l,/bone/index_02_l/pitch
mixamorig:LeftHandIndex2,index_02_l,/bone/index_02_l/yaw
mixamorig:LeftHandIndex2,index_02_l,/bone/index_02_l/roll
mixamorig:LeftHandIndex3,index_03_l,/bone/index_03_l/pitch
mixamorig:LeftHandIndex3,index_03_l,/bone/index_03_l/yaw
mixamorig:LeftHandIndex3,index_03_l,/bone/index_03_l/roll
mixamorig:LeftHandMiddle1,middle_01_l,/bone/middle_01_l/pitch
mixamorig:LeftHandMiddle1,middle_01_l,/bone/middle_01_l/yaw
mixamorig:LeftHandMiddle1,middle_01_l,/bone/middle_01_l/roll
mixamorig:LeftHandMiddle2,middle_02_l,/bone/middle_02_l/pitch
mixamorig:LeftHandMiddle2,middle_02_l,/bone/middle_02_l/yaw
mixamorig:LeftHandMiddle2,middle_02_l,/bone/middle_02_l/roll
mixamorig:LeftHandMiddle3,middle_03_l,/bone/middle_03_l/pitch
mixamorig:LeftHandMiddle3,middle_03_l,/bone/middle_03_l/yaw
mixamorig:LeftHandMiddle3,middle_03_l,/bone/middle_03_l/roll
mixamorig:LeftHandRing1,ring_01_l,/bone/ring_01_l/pitch
mixamorig:LeftHandRing1,ring_01_l,/bone/ring_01_l/yaw
mixamorig:LeftHandRing1,ring_01_l,/bone/ring_01_l/roll
mixamorig:LeftHandRing2,ring_02_l,/bone/ring_02_l/pitch
mixamorig:LeftHandRing2,ring_02_l,/bone/ring_02_l/yaw
mixamorig:LeftHandRing2,ring_02_l,/bone/ring_02_l/roll
mixamorig:LeftHandRing3,ring_03_l,/bone/ring_03_l/pitch
mixamorig:LeftHandRing3,ring_03_l,/bone/ring_03_l/yaw
mixamorig:LeftHandRing3,ring_03_l,/bone/ring_03_l/roll
mixamorig:LeftHandPinky1,pinky_01_l,/bone/pinky_01_l/pitch
mixamorig:LeftHandPinky1,pinky_01_l,/bone/pinky_01_l/yaw
mixamorig:LeftHandPinky1,pinky_01_l,/bone/pinky_01_l/roll
mixamorig:LeftHandPinky2,pinky_02_l,/bone/pinky_02_l/pitch
mixamorig:LeftHandPinky2,pinky_02_l,/bone/pinky_02_l/yaw
mixamorig:LeftHandPinky2,pinky_02_l,/bone/pinky_02_l/roll
mixamorig:LeftHandPinky3,pinky_03_l,/bone/pinky_03_l/pitch
mixamorig:LeftHandPinky3,pinky_03_l,/bone/pinky_03_l/yaw
mixamorig:LeftHandPinky3,pinky_03_l,/bone/pinky_03_l/roll
mixamorig:RightUpLeg,thigh_r,/bone/thigh_r/pitch
mixamorig:RightUpLeg,thigh_r,/bone/thigh_r/yaw
mixamorig:RightUpLeg,thigh_r,/bone/thigh_r/roll
mixamorig:RightLeg,calf_r,/bone/calf_r/pitch
mixamorig:RightLeg,calf_r,/bone/calf_r/yaw
mixamorig:RightLeg,calf_r,/bone/calf_r/roll
mixamorig:RightFoot,foot_r,/bone/foot_r/pitch
mixamorig:RightFoot,foot_r,/bone/foot_r/yaw
mixamorig:RightFoot,foot_r,/bone/foot_r/roll
mixamorig:RightToeBase,ball_r,/bone/ball_r/pitch
mixamorig:RightToeBase,ball_r,/bone/ball_r/yaw
mixamorig:RightToeBase,ball_r,/bone/ball_r/roll
mixamorig:LeftUpLeg,thigh_l,/bone/thigh_l/pitch
mixamorig:LeftUpLeg,thigh_l,/bone/thigh_l/yaw
mixamorig:LeftUpLeg,thigh_l,/bone/thigh_l/roll
mixamorig:LeftLeg,calf_l,/bone/calf_l/pitch
mixamorig:LeftLeg,calf_l,/bone/calf_l/yaw
mixamorig:LeftLeg,calf_l,/bone/calf_l/roll
mixamorig:LeftFoot,foot_l,/bone/foot_l/pitch
mixamorig:LeftFoot,foot_l,/bone/foot_l/yaw
mixamorig:LeftFoot,foot_l,/bone/foot_l/roll
mixamorig:LeftToeBase,ball_l,/bone/ball_l/pitch
mixamorig:LeftToeBase,ball_l,/bone/ball_l/yaw
mixamorig:LeftToeBase,ball_l,/bone/ball_l/roll
