frame,time,joint,x_deg,y_deg,z_deg,root_tx,root_ty,root_tz
0,0.0,mixamorig:LeftHandPinky2,5.544912,2.664448,-78.811354,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftHandPinky3,1.552531,4.360283,-39.183945,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftHandPinky4,-2e-06,-2e-06,-0.0,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightUpLeg,-69.736587,-4.015079,-3.352907,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightLeg,49.900211,-0.481784,-0.104777,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightFoot,36.480802,3.593031,12.99615,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightToeBase,-1.4e-05,3e-06,0.0,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightToe_End,-0.0,1e-06,0.0,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftUpLeg,-70.132724,-0.535703,14.33335,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftLeg,92.739912,9.74497,0.545675,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftFoot,-6.15089,3.219349,5.773227,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftToeBase,-0.083496,9e-06,-1e-06,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftToe_End,0.0,0.0,-0.0,-0.516523,64.068367,1.35367
1,0.033333,mixamorig:Hips,-18.268842,-6.748756,-7.738928,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:Spine,5.974017,3.051732,3.752711,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:Spine1,10.822061,0.594207,2.334441,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:Spine2,10.807168,0.654109,2.380852,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:Neck,-4.046268,0.652767,-0.655027,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:Head,-12.367488,1.436463,3.67552,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:HeadTop_End,-1e-06,0.0,-0.0,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightShoulder,3.352724,13.641145,10.883783,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightArm,-22.794764,26.980659,21.571264,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightForeArm,-0.000325,83.200836,0.000387,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHand,-6.790033,4.325738,-29.38333,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandThumb1,7.564649,7.028704,27.70372,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandThumb2,-9.818517,-72.226669,-19.707065,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandThumb3,-2.64543,-31.790019,-7.915082,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandThumb4,6e-06,-5e-06,1e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandIndex1,6.036407,-6.888421,82.440971,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandIndex2,4.121021,-6.349616,65.937868,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandIndex3,1.115597,-3.782567,32.854573,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandIndex4,-0.0,-1e-06,1e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandMiddle1,6.036403,-6.88842,82.440971,-0.512158,64.068703,1.342978
