frame,time,joint,quat_x,quat_y,quat_z,quat_w,root_tx,root_ty,root_tz
0,0.0,mixamorig:Hips,-0.15379045020980484,-0.06829499464123895,-0.057196358295495665,0.9840797059836932,-0.516523,64.068367,1.35367
0,0.0,mixamorig:Spine,0.052388169458071995,0.02465359434942417,0.034166238563969345,0.9977376148712027,-0.516523,64.068367,1.35367
0,0.0,mixamorig:Spine1,0.09350484586041347,0.003135838180964441,0.021353096845039558,0.9953848781123057,-0.516523,64.068367,1.35367
0,0.0,mixamorig:Spine2,0.09338962634903676,0.003599190423919985,0.021785877543428006,0.9953847492594723,-0.516523,64.068367,1.35367
0,0.0,mixamorig:Neck,-0.03567785944045316,0.005797599447878846,-0.00645740587656773,0.9993256626824584,-0.516523,64.068367,1.35367
0,0.0,mixamorig:Head,-0.10886361297193202,0.01678651000625465,0.031018460685388764,0.9934308138714122,-0.516523,64.068367,1.35367
0,0.0,mixamorig:HeadTop_End,0.0,0.0,0.0,1.0,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightShoulder,0.040144386106950626,0.11528629517908717,0.0976520815500844,0.9877052036801832,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightArm,-0.14621907789632885,0.26138726406436164,0.13340707995346446,0.944721774101976,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightForeArm,6.736418447650038e-08,0.6615710063451773,7.702092026885112e-07,0.7498825265085403,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHand,-0.0638092491711989,0.019179208111829923,-0.26054431612074236,0.963160005935455,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandThumb1,0.07857088289596252,0.043622870956144276,0.24236766962704584,0.9660132370780681,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandThumb2,0.03237691848757179,-0.5903907830287863,-0.08804654050699087,0.8016472198970421,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandThumb3,-0.0032510945342504203,-0.27468183982729916,-0.06005366518477076,0.9596524759262047,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandThumb4,1.3707783890401879e-15,2.6179938779914904e-08,5.235987755982985e-08,0.9999999999999983,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandIndex1,4.871387879117634e-08,-0.07975928535992699,0.6544764761223499,0.7518636835233782,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandIndex2,-1.3637483436786904e-07,-0.06597008765169693,0.5413270804874467,0.8382201020413113,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandIndex3,2.9059379735030132e-08,-0.03440604088738552,0.2823226839857434,0.9587023137854319,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandIndex4,0.0,0.0,8.726646259971647e-09,1.0,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandMiddle1,2.3277222073498136e-08,-0.0797592747506411,0.6544764775204605,0.7518636834318182,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandMiddle2,-1.3930687482744495e-07,-0.06597004429603674,0.5413270843172233,0.8382201029802218,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandMiddle3,1.3227615726326435e-08,-0.03440603595992479,0.2823226594874741,0.9587023211766226,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandMiddle4,8.726646259971646e-09,2.284630648400314e-16,-2.6179938779914944e-08,0.9999999999999997,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandRing1,6.509191853297296e-08,-0.07975927231018679,0.6544764315735746,0.7518637236861913,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandRing2,-1.3930687482744495e-07,-0.06597004429603674,0.5413270843172233,0.8382201029802218,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandRing3,9.857758869196807e-09,-0.03440604432459525,0.2823226844233541,0.9587023135332078,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandRing4,1.5230870989335428e-16,1.7453292519943295e-08,8.726646259971647e-09,0.9999999999999998,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandPinky1,4.376930415934966e-08,-0.07975930412104804,0.6544764740463537,0.7518636833402562,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandPinky2,-1.0601759169015763e-07,-0.0659700631919232,0.5413270308104807,0.8382201360480143,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandPinky3,-5.591201430429658e-08,-0.03440602707847284,0.2823228873152361,0.9587022544036604,-0.516523,64.068367,1.35367
0,0.0,mixamorig:RightHandPinky4,1.5230870989335428e-16,1.7453292519943295e-08,8.726646259971647e-09,0.9999999999999998,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftShoulder,0.010750726762376992,0.0016825200550793884,-0.0940142879354291,0.9955113784705523,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftArm,-0.09376012706659897,-0.41914945489810423,-0.28011544023352786,0.8585208868594021,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftForeArm,2.0410645487175855e-07,-0.6558889267240978,-2.1447041064673432e-07,0.754857414218489,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftHand,-0.007470013895520134,0.008397625861721056,0.2274407780460091,0.9737270517214326,-0.516523,64.068367,1.35367
0,0.0,mixamorig:LeftHandThumb1,0.18397587216087735,-0.17327890188458128,-0.17981863485550673,0.9506800509019951,-0.516523,64.068367,1.35367
