Timestamp,Pelvis_position_x,Pelvis_position_y,Pelvis_position_z,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,Chest_position_x,Chest_position_y,Chest_position_z,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,Head_position_x,Head_position_y,Head_position_z,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,LeftUpperLeg_position_x,LeftUpperLeg_position_y,LeftUpperLeg_position_z,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftLowerLeg_position_x,LeftLowerLeg_position_y,LeftLowerLeg_position_z,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftFoot_position_x,LeftFoot_position_y,LeftFoot_position_z,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightUpperLeg_position_x,RightUpperLeg_position_y,RightUpperLeg_position_z,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightLowerLeg_position_x,RightLowerLeg_position_y,RightLowerLeg_position_z,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightFoot_position_x,RightFoot_position_y,RightFoot_position_z,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,LeftShoulder_position_x,LeftShoulder_position_y,LeftShoulder_position_z,LeftUpperArm_position_x,LeftUpperArm_position_y,LeftUpperArm_position_z,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,RightShoulder_position_x,RightShoulder_position_y,RightShoulder_position_z,RightUpperArm_position_x,RightUpperArm_position_y,RightUpperArm_position_z,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftWrist_flexion,LeftWrist_adduction,LeftWrist_pronation,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightWrist_flexion,RightWrist_adduction,RightWrist_pronation
167.0,-0.7714936,0.5992172,-0.5637405,17.50562,9.057796,21.34854,-0.8008522,0.9302275,-0.6306409,-4.025696,-1.763062,-3.138685,-0.7871117,1.229499,-0.6187739,-10.49548,-3.632897,15.88353,-0.8430485,0.5968573,-0.5332997,55.18719,15.40382,0.6726035,-0.7903981,0.488401,-0.1362861,78.77584,-0.1448774,0.0,-0.8059362,0.07367,-0.1629222,5.400403,-0.740689,-11.58985,-0.6999387,0.6015772,-0.5941812,4.38307,34.4688,34.80279,-0.4208613,0.2962354,-0.56198,72.36027,37.20926,-22.75946,-0.4751443,0.07348083,-0.9089475,55.09475,26.54943,10.13122,-0.8656662,1.05042,-0.6074859,-0.9886456,1.059467,-0.6463003,-23.92194,8.932017,10.81675,49.89668,-4.49e-05,32.94543,-0.7306998,1.045756,-0.6003914,-0.6034769,1.039121,-0.6223608,18.53963,6.78943,-16.35677,75.41643,-9.84e-05,-49.92785,-1.112484,0.6025393,-0.7100538,-26.45874,-12.41791,-2.930043,-0.595956,0.8032213,-0.2785941,14.98124,1.471043,-0.191797
183.0,-0.7713948,0.599206,-0.5637589,17.51517,9.059108,21.34816,-0.8008426,0.9302057,-0.6308318,-3.980445,-1.739776,-3.119415,-0.7872538,1.229494,-0.6192091,-10.50279,-3.58851,16.19356,-0.8429496,0.5968494,-0.5333177,55.17768,15.42229,0.6807005,-0.7904338,0.4884013,-0.136284,78.77366,-0.1489322,0.0,-0.805927,0.07366776,-0.1629058,5.380154,-0.7503248,-11.57689,-0.6998399,0.6015626,-0.5942001,4.37569,34.46794,34.81238,-0.4207745,0.2962117,-0.5619822,72.37316,37.21748,-22.76509,-0.4751422,0.07348053,-0.9089515,55.10706,26.53563,10.12867,-0.865701,1.050388,-0.6077506,-0.9885027,1.059817,-0.6470338,-24.98153,8.658256,9.477605,53.10509,-3.13e-05,31.19417,-0.7307305,1.045788,-0.6006941,-0.6035571,1.039389,-0.623017,18.65212,6.861299,-16.23701,75.22688,-9.65e-05,-49.53395,-1.10893,0.6075231,-0.7022287,-28.96082,-12.66133,-3.282291,-0.593384,0.8036655,-0.278554,15.15885,1.594618,-0.2121421
200.0,-0.7712899,0.5991963,-0.5637441,17.52582,9.060496,21.34672,-0.8008142,0.930184,-0.6310498,-3.918716,-1.720262,-3.114265,-0.7873734,1.229494,-0.6197147,-10.46277,-3.530242,16.49366,-0.8428451,0.5968431,-0.5333036,55.1656,15.44101,0.6937978,-0.790473,0.4883931,-0.1362515,78.77279,-0.1494589,-0.01978234,-0.8059164,0.07365814,-0.1628801,5.360414,-0.7644578,-11.5626,-0.6997346,0.6015496,-0.5941845,4.362421,34.46928,34.82949,-0.4206816,0.2961861,-0.5619788,72.3818,37.22875,-22.77432,-0.4751387,0.07348292,-0.908952,55.11643,26.52365,10.1285,-0.8657126,1.050369,-0.6080934,-0.9883215,1.060187,-0.6478801,-25.96168,8.443688,8.163258,56.54613,-4.55e-05,30.2067,-0.73074,1.045822,-0.6010408,-0.6036109,1.039694,-0.6236896,18.78609,6.94941,-16.0723,75.04756,-0.000109315,-48.87646,-1.105645,0.6135118,-0.6930718,-31.65292,-13.1881,-3.75369,-0.5904928,0.8042415,-0.2785338,15.32638,1.662336,-0.2238118
217.0,-0.7711887,0.5991864,-0.5637089,17.54212,9.061964,21.34619,-0.8007817,0.930155,-0.6312343,-3.864928,-1.702417,-3.118411,-0.7875077,1.229486,-0.6201214,-10.39304,-3.44507,16.77155,-0.8427439,0.5968398,-0.5332679,55.14675,15.46041,0.7151849,-0.7905182,0.4883826,-0.1361984,78.77326,-0.1460978,-0.02797646,-0.8059042,0.07364699,-0.1628504,5.335828,-0.7794014,-11.54594,-0.6996335,0.601533,-0.5941499,4.343703,34.47436,34.85217,-0.4205867,0.2961609,-0.5619712,72.38723,37.24634,-22.78438,-0.475132,0.07348703,-0.9089493,55.12272,26.51833,10.13143,-0.8657191,1.050341,-0.6083972,-0.9881466,1.060564,-0.6486381,-26.80788,8.319752,6.757956,60.09972,-2.09e-05,30.03319,-0.7307457,1.045843,-0.6013276,-0.6036632,1.039961,-0.6243005,18.88906,7.075291,-15.90147,74.88622,-0.000126301,-48.17132,-1.1025,0.62032,-0.6822726,-33.15807,-12.61915,-3.770761,-0.5874285,0.8048447,-0.2785035,15.51219,1.704019,-0.23239
233.0,-0.7710944,0.5991713,-0.5636715,17.5674,9.062682,21.34605,-0.8007693,0.9301104,-0.6314299,-3.81367,-1.678967,-3.149208,-0.7877173,1.229465,-0.6205111,-10.30502,-3.329708,17.04716,-0.8426496,0.5968373,-0.5332294,55.11986,15.47927,0.7438844,-0.7905713,0.4883803,-0.1361404,78.77578,-0.1409668,-0.02797646,-0.8058915,0.07364431,-0.162824,5.309579,-0.7963213,-11.52485,-0.6995393,0.6015054,-0.5941137,4.318606,34.48421,34.87637,-0.420494,0.2961287,-0.5619655,72.39045,37.26824,-22.78809,-0.4751188,0.07348345,-0.9089495,55.1228,26.52433,10.14063,-0.8657643,1.050293,-0.6087388,-0.9880267,1.060888,-0.6493832,-27.8024,8.304397,5.213763,63.96924,-2.48e-05,30.09436,-0.7307933,1.045852,-0.6015892,-0.6037435,1.0402,-0.6248,18.98285,7.223522,-15.70533,74.7242,-0.000111864,-47.77019,-1.098679,0.6283891,-0.6710607,-34.58207,-11.99719,-3.747006,-0.5844055,0.8054631,-0.2783594,15.75111,1.79262,-0.2470816
250.0,-0.7709979,0.5991476,-0.5635961,17.59869,9.067835,21.34911,-0.8007758,0.9300476,-0.6315802,-3.76832,-1.652894,-3.177059,-0.7879891,1.229427,-0.620815,-10.20178,-3.185881,17.29433,-0.8425505,0.5968254,-0.533147,55.08525,15.50332,0.7765731,-0.7906246,0.4883666,-0.1360388,78.78297,-0.1338428,0.0,-0.8058778,0.07363251,-0.1627907,5.287464,-0.8149653,-11.49956,-0.6994452,0.6014697,-0.5940451,4.286423,34.4938,34.89831,-0.4203972,0.2960902,-0.561948,72.39225,37.29171,-22.79271,-0.4751036,0.0734846,-0.9089446,55.11895,26.5344,10.15497,-0.8658332,1.050221,-0.6090193,-0.987978,1.06109,-0.6499444,-28.47418,8.399711,3.36284,67.95744,-3.07e-05,30.19346,-0.7308639,1.045842,-0.6017967,-0.6038275,1.040436,-0.6251388,19.0648,7.381637,-15.50687,74.55229,-0.000117104,-46.64209,-1.094095,0.6372132,-0.6563955,-36.33233,-12.16541,-4.005213,-0.58157,0.8060627,-0.2780503,15.94237,1.731722,-0.2422834
267.0,-0.7709028,0.5991127,-0.563498,17.63579,9.077991,21.35382,-0.8007929,0.9299639,-0.6317502,-3.714307,-1.62871,-3.193285,-0.7882944,1.229372,-0.621164,-10.07101,-3.012942,17.52293,-0.842451,0.5968004,-0.5330381,55.04549,15.53121,0.8106001,-0.7906784,0.4883523,-0.1359068,78.79624,-0.1251659,0.0,-0.8058645,0.07362217,-0.1627582,5.271765,-0.8318488,-11.47434,-0.6993545,0.6014251,-0.593958,4.246993,34.50187,34.91236,-0.4203016,0.2960431,-0.5619258,72.39395,37.31013,-22.79448,-0.4750866,0.07348469,-0.9089402,55.11655,26.54874,10.16874,-0.8659056,1.050133,-0.6093237,-0.987987,1.061156,-0.6503963,-29.00894,8.610211,1.425069,71.8103,-2.32e-05,29.83017,-0.7309369,1.045815,-0.6020551,-0.603914,1.040557,-0.6255042,19.10712,7.587678,-15.34567,74.38699,-0.000127339,-45.46102,-1.088866,0.6464598,-0.641055,-37.52713,-12.73339,-4.341538,-0.5788931,0.8066107,-0.277762,16.09834,1.656905,-0.234068
283.0,-0.7708101,0.5990648,-0.563382,17.67717,9.093188,21.35637,-0.8008221,0.9298592,-0.6319277,-3.655431,-1.606136,-3.181985,-0.7886454,1.229298,-0.6215339,-9.919168,-2.802743,17.7267,-0.8423542,0.5967575,-0.5329116,55.00323,15.55962,0.8397673,-0.7907332,0.4883356,-0.1357534,78.81477,-0.1171831,0.0,-0.8058525,0.07361093,-0.1627264,5.258516,-0.8494306,-11.45035,-0.6992661,0.6013721,-0.5938523,4.198853,34.50746,34.922,-0.4202094,0.2959857,-0.5618958,72.39655,37.3229,-22.79777,-0.4750704,0.073486,-0.908936,55.11882,26.5606,10.17755,-0.8659797,1.050025,-0.6096129,-0.9880469,1.06107,-0.6507217,-29.41263,8.902584,-0.5439246,75.47383,-5.59e-05,29.77936,-0.7310081,1.045769,-0.6023632,-0.6040013,1.040584,-0.6259159,19.17166,7.816001,-15.2285,74.22369,-9.55e-05,-44.81289,-1.082974,0.6559839,-0.6253974,-37.62672,-11.08663,-3.787497,-0.5764235,0.8072038,-0.2774417,16.23675,1.627858,-0.23239
300.0,-0.7707242,0.5989957,-0.5632475,17.72201,9.113859,21.35696,-0.8008757,0.9297259,-0.6321107,-3.591342,-1.583703,-3.129315,-0.7890481,1.229197,-0.6219367,-9.761183,-2.571142,17.8936,-0.8422638,0.596688,-0.5327668,54.9609,15.58824,0.8618464,-0.7907861,0.4883191,-0.1355756,78.84113,-0.1110621,0.0,-0.8058417,0.07360187,-0.162699,5.253148,-0.8655127,-11.4287,-0.6991846,0.6013035,-0.5937282,4.143213,34.51003,34.9287,-0.4201232,0.2959126,-0.5618563,72.40001,37.3322,-22.80383,-0.4750555,0.0734853,-0.9089315,55.1234,26.56937,10.18393,-0.8660673,1.049886,-0.6098691,-0.9881874,1.060865,-0.6508382,-29.62113,9.248453,-2.627816,78.92435,-6.78e-05,29.03599,-0.7310874,1.045699,-0.6027351,-0.6041071,1.040511,-0.6264294,19.26814,8.084588,-15.18585,74.03986,-0.000101263,-44.20272,-1.07619,0.6657287,-0.6090764,-38.04207,-11.4549,-3.960618,-0.5740916,0.8077474,-0.2771319,16.36727,1.582947,-0.2264194
317.0,-0.7706486,0.5989099,-0.5631019,17.77142,9.141282,21.35815,-0.8010016,0.929567,-0.6323292,-3.515189,-1.550489,-3.018177,-0.789597,1.229076,-0.6224319,-9.591816,-2.333598,18.0103,-0.8421821,0.5965964,-0.5326073,54.9164,15.61925,0.8778186,-0.7908361,0.4883047,-0.135378,78.87466,-0.1063431,0.0,-0.8058325,0.07359689,-0.1626776,5.256467,-0.8813007,-11.40888,-0.6991151,0.6012234,-0.5935965,4.081303,34.50811,34.92366,-0.4200485,0.2958282,-0.5618112,72.40529,37.33318,-22.81189,-0.475043,0.07348149,-0.9089282,55.13062,26.57108,10.18443,-0.866235,1.04971,-0.610117,-0.9884984,1.060478,-0.6507131,-29.61231,9.660498,-4.774286,82.1075,-2.32e-05,28.06032,-0.7312388,1.045626,-0.6032341,-0.6043016,1.040402,-0.6271503,19.36193,8.368958,-15.2289,73.82813,-0.000119349,-43.37474,-1.068789,0.6755491,-0.5922163,-38.03844,-12.15873,-4.205052,-0.5719561,0.8082114,-0.2769771,16.44856,1.410627,-0.2036718
